title,price,location,surface,rooms,baths,link,city,surface_m2,price_per_m2,segment
PALMIER JOLI STUDIO NEUF AVEC TERRASSE À VENDRE,1235000.0,"Appartements dans Casablanca, Palmier",54 m²,1 chambre,1 sdb,https://www.avito.ma/fr/palmier/appartements/PALMIER_JOLI_STUDIO_NEUF_AVEC_TERRASSE_%C3%80_VENDRE_57392471.htm,Casablanca,54.0,22870.37,Moyen
Appartement Spacieux Avec Finitions Premium,3200000.0,"Appartements dans Marrakech, Victor Hugo",,2 chambres,2 sdbs,https://www.avito.ma/fr/victor_hugo/appartements/Appartement_Spacieux_Avec_Finitions_Premium_57345068.htm,Marrakech,73.0,43835.62,Luxe
Cozy Studio Duplex Meublé À Vendre À Victor Hugo,1200000.0,"Appartements dans Marrakech, Victor Hugo",,1 chambre,2 sdbs,https://www.avito.ma/fr/victor_hugo/appartements/Cozy_Studio_Duplex_Meubl%C3%A9_%C3%80_Vendre_%C3%80_Victor_Hugo_57739902.htm,Marrakech,73.0,16438.36,Moyen
Appartement à vendre près des universités 47 m2,295000.0,"Appartements dans Tanger, Al Irfane 2",47 m²,2 chambres,1 sdb,https://www.avito.ma/fr/al_irfane_2/appartements/Appartement_%C3%A0_vendre_pr%C3%A8s_des_universit%C3%A9s_47_m2_57310789.htm,Tanger,47.0,6276.6,Economique
Appartement à vendre Résidence noria 2 chambres,2300000.0,"Appartements dans Marrakech, Autre secteur",84 m²,2 chambres,2 sdbs,https://www.avito.ma/fr/autre_secteur/appartements/Appartement_%C3%A0_vendre_R%C3%A9sidence_noria_2_chambres_57372719.htm,Marrakech,84.0,27380.95,Luxe
Bel appartement.,530000.0,"Appartements dans El Hajeb, Toute la ville",80 m²,2 chambres,1 sdb,https://www.avito.ma/fr/el_hajeb/appartements/Bel_appartement__57870940.htm,El Hajeb,80.0,6625.0,Economique
Bel appartement,450000.0,"Appartements dans El Hajeb, Toute la ville",80 m²,2 chambres,1 sdb,https://www.avito.ma/fr/el_hajeb/appartements/Bel_appartement_57870942.htm,El Hajeb,80.0,5625.0,Economique
Appartement terrasse indépendante,700000.0,"Appartements dans El Jadida, Saada",97 m²,1 chambre,1 sdb,https://www.avito.ma/fr/saada/appartements/Appartement_terrasse_ind%C3%A9pendante_57870943.htm,El Jadida,97.0,7216.49,Moyen
Projet Prestigieux avec piscine Route de Casa,669000.0,"Appartements dans Marrakech, Guéliz",1 m²,1 chambre,1 sdb,https://www.avito.ma/fr/gu%C3%A9liz/appartements/Projet_Prestigieux_avec_piscine_Route_de_Casa_54457734.htm,Marrakech,1.0,669000.0,Moyen
Appartement à vendre vue sur mer à Tanger,3500000.0,"Appartements dans Tanger, Malabata",120 m²,3 chambres,2 sdbs,https://www.avito.ma/fr/malabata/appartements/Appartement_%C3%A0_vendre_vue_sur_mer_%C3%A0_Tanger_57854842.htm,Tanger,120.0,29166.67,Luxe
Luxueux studio en vente a Gueliz pour AIRBNB,1526500.0,"Appartements dans Marrakech, Av Abdelkrim El Khattabi",61 m²,1 chambre,1 sdb,https://www.avito.ma/fr/av_abdelkrim_el_khattabi/appartements/Luxueux_studio_en_vente_a_Gueliz_pour_AIRBNB_57606267.htm,Marrakech,61.0,25024.59,Moyen
Appartement meublé à vendre à Mohammedia,840000.0,"Appartements dans Mohammedia, Autre secteur",,2 chambres,1 sdb,https://www.avito.ma/fr/autre_secteur/appartements/Appartement_meubl%C3%A9_%C3%A0_vendre_%C3%A0_Mohammedia_57593402.htm,Mohammedia,89.5,9385.47,Moyen
Appartement à vendre 117 m² à Marrakech,1800000.0,"Appartements dans Marrakech, Guéliz",appartement à vendre 117 m² à marrakech,3 chambres,3 sdbs,https://www.avito.ma/fr/gu%C3%A9liz/appartements/Appartement_%C3%A0_vendre_117_m%C2%B2_%C3%A0_Marrakech_57756948.htm,Marrakech,117.0,15384.62,Moyen
167577-Vente Appt à Casablanca Racine de 203 m²,4200000.0,"Appartements dans Casablanca, Anfa",203 m²,3 chambres,2 sdbs,https://www.avito.ma/fr/anfa/appartements/167577_Vente_Appt_%C3%A0_Casablanca_Racine_de_203_m%C2%B2_57572362.htm,Casablanca,203.0,20689.66,Luxe
Appartement à vendre à Temara,1200000.0,"Appartements dans Rabat, Autre secteur",107 m²,3 chambres,2 sdbs,https://www.avito.ma/fr/autre_secteur/appartements/Appartement_%C3%A0_vendre_%C3%A0_Temara_57812272.htm,Rabat,107.0,11214.95,Moyen
Appartement en vente 65m² à Gueliz-Piscine Rooftop,1498000.0,"Appartements dans Marrakech, Guéliz",65 m²,1 chambre,1 sdb,https://www.avito.ma/fr/gu%C3%A9liz/appartements/Appartement_en_vente_65m%C2%B2_%C3%A0_Gueliz_Piscine_Rooftop_57658705.htm,Marrakech,65.0,23046.15,Moyen
appartement meublé à vendre,1100000.0,"Appartements dans Kénitra, Mimosas",110 m²,3 chambres,2 sdbs,https://www.avito.ma/fr/mimosas/appartements/appartement_meubl%C3%A9_%C3%A0_vendre_57763197.htm,Kénitra,110.0,10000.0,Moyen
Appartement à vendre à Temara,960000.0,"Appartements dans Temara, Autre secteur",128 m²,3 chambres,1 sdb,https://www.avito.ma/fr/autre_secteur/appartements/Appartement_%C3%A0_vendre_%C3%A0_Temara_45494983.htm,Temara,128.0,7500.0,Moyen
LA PERLA BLANCA -E-8 25/56952,1150000.0,"Appartements dans Benslimane, Autre secteur",114 m²,3 chambres,2 sdbs,https://www.avito.ma/fr/autre_secteur/appartements/LA_PERLA_BLANCA__E_8_25_56952_57813601.htm,Benslimane,114.0,10087.72,Moyen
Appartement à vendre 60 m² à Tanger,360000.0,"Appartements dans Tanger, Autre secteur",60 m²,2 chambres,1 sdb,https://www.avito.ma/fr/autre_secteur/appartements/Appartement_%C3%A0_vendre_60_m%C2%B2_%C3%A0_Tanger_57870892.htm,Tanger,60.0,6000.0,Economique
Appartement en vente 61m² à Gueliz Piscine Rooftop,1500000.0,"Appartements dans Marrakech, Guéliz",61 m²,1 chambre,1 sdb,https://www.avito.ma/fr/gu%C3%A9liz/appartements/Appartement_en_vente_61m%C2%B2_%C3%A0_Gueliz_Piscine_Rooftop_57656300.htm,Marrakech,61.0,24590.16,Moyen
Appartement à vendre 50 m² à Salé,460000.0,"Appartements dans Salé, Tabriquet",50 m²,2 chambres,1 sdb,https://www.avito.ma/fr/tabriquet/appartements/Appartement_%C3%A0_vendre_50_m%C2%B2_%C3%A0_Sal%C3%A9_57870868.htm,Salé,50.0,9200.0,Economique
Rare Opportunité. Splendide Duplex à Maarif Extension,1520000.0,"Appartements dans Casablanca, Maârif Extension",,3 chambres,2 sdbs,https://www.avito.ma/fr/ma%C3%A2rif_extension/appartements/Rare_Opportunit%C3%A9__Splendide_Duplex_%C3%A0_Maarif_Extension_57765413.htm,Casablanca,100.0,15200.0,Moyen
Appartement à vendre 130 m² à plage des nations,1850000.0,"Appartements dans Sidi Bouknadel, Toute la ville",130 m²,2 chambres,2 sdbs,https://www.avito.ma/fr/sidi_bouknadel/appartements/Appartement_%C3%A0_vendre_130_m%C2%B2_%C3%A0_plage_des_nations_56055121.htm,Sidi Bouknadel,130.0,14230.77,Moyen
Appartement meublé neuf sur corniche Martil,1500000.0,"Appartements dans Martil, Toute la ville",150 m²,3 chambres,1 sdb,https://www.avito.ma/fr/martil/appartements/Appartement_meubl%C3%A9_neuf_sur_corniche_Martil_57833371.htm,Martil,150.0,10000.0,Moyen
Appartement à vendre,570000.0,"Appartements dans Mohammedia, Hay Al Falah",,2 chambres,1 sdb,https://www.avito.ma/fr/hay_al_falah/appartements/Appartement_%C3%A0_vendre_57796998.htm,Mohammedia,89.5,6368.72,Economique
Duplex moderne à vendre – 2 chambres Victor Hugo,1600000.0,"Appartements dans Marrakech, Victor Hugo",,2 chambres,1 sdb,https://www.avito.ma/fr/victor_hugo/appartements/Duplex_moderne_%C3%A0_vendre___2_chambres__Victor_Hugo_57447780.htm,Marrakech,73.0,21917.81,Moyen
🏠 L’EXCEPTION URBAINE Duplex 66 m² à Guéliz,1518000.0,"Appartements dans Marrakech, Guéliz",65 m²,1 chambre,1 sdb,https://www.avito.ma/fr/gu%C3%A9liz/appartements/___L_EXCEPTION_URBAINE_Duplex_66_m%C2%B2_%C3%A0_Gu%C3%A9liz_57674996.htm,Marrakech,65.0,23353.85,Moyen
Appartement à vendre 55 m² à Tanger,330000.0,"Appartements dans Tanger, Autre secteur",55 m²,2 chambres,1 sdb,https://www.avito.ma/fr/autre_secteur/appartements/Appartement_%C3%A0_vendre_55_m%C2%B2_%C3%A0_Tanger_57859943.htm,Tanger,55.0,6000.0,Economique
CMN-SI-1877 - Appartement à vendre à Bourgogne Est,1050000.0,"Appartements dans Casablanca, Bourgogne",76 m²,2 chambres,1 sdb,https://www.avito.ma/fr/bourgogne/appartements/CMN_SI_1877___Appartement_%C3%A0_vendre_%C3%A0_Bourgogne_Est_57328148.htm,Casablanca,76.0,13815.79,Moyen
Appartement à vendre 78 m² à Marrakech,1800000.0,"Appartements dans Marrakech, Agdal",118 m²,2 chambres,2 sdbs,https://www.avito.ma/fr/agdal/appartements/Appartement_%C3%A0_vendre_78_m%C2%B2_%C3%A0_Marrakech_56438709.htm,Marrakech,118.0,15254.24,Moyen
Appartement à vendre 60 m² à Marrakech,1320000.0,"Appartements dans Marrakech, Guéliz",60 m²,2 chambres,1 sdb,https://www.avito.ma/fr/gu%C3%A9liz/appartements/Appartement_%C3%A0_vendre_60_m%C2%B2_%C3%A0_Marrakech_57658682.htm,Marrakech,60.0,22000.0,Moyen
Appart lux 188m2 de 3ch 3sb à Gueliz,3100000.0,"Appartements dans Marrakech, Guéliz",,2 chambres,3 sdbs,https://www.avito.ma/fr/gu%C3%A9liz/appartements/Appart_lux_188m2_de_3ch_3sb_%C3%A0_Gueliz_56902202.htm,Marrakech,73.0,42465.75,Luxe
Appartement à vendre 69 m² à Casablanca,440000.0,"Appartements dans Casablanca, Aïn Borja",69 m²,3 chambres,1 sdb,https://www.avito.ma/fr/a%C3%AFn_borja/appartements/Appartement_%C3%A0_vendre_69_m%C2%B2_%C3%A0_Casablanca_38635452.htm,Casablanca,69.0,6376.81,Economique
Studio neuf 41 m2 à vendre à Roche Noires,640000.0,"Appartements dans Casablanca, Roches Noires",41 m²,1 chambre,1 sdb,https://www.avito.ma/fr/roches_noires/appartements/Studio_neuf_41_m2_%C3%A0_vendre_%C3%A0_Roche_Noires_55587139.htm,Casablanca,41.0,15609.76,Moyen
Appart 76m2 près Mc Do et Marjane allal fassi,980000.0,"Appartements dans Marrakech, Allal El Fassi",,2 chambres,1 sdb,https://www.avito.ma/fr/allal_el_fassi/appartements/Appart_76m2_pr%C3%A8s_Mc_Do_et_Marjane_allal_fassi_55820537.htm,Marrakech,73.0,13424.66,Moyen
Duplex RDC 74 m² en vente - piscine Rooftop,1708000.0,"Appartements dans Marrakech, Av Abdelkrim El Khattabi",74 m²,1 chambre,2 sdbs,https://www.avito.ma/fr/av_abdelkrim_el_khattabi/appartements/Duplex_RDC_74_m%C2%B2_en_vente___piscine_Rooftop_57606328.htm,Marrakech,74.0,23081.08,Moyen
Appart 78m2 avec terrasse en haut près Atacadao,750000.0,"Appartements dans Marrakech, Route de Fès",,2 chambres,1 sdb,https://www.avito.ma/fr/route_de_f%C3%A8s/appartements/Appart_78m2_avec_terrasse_en_haut_pr%C3%A8s_Atacadao_57427077.htm,Marrakech,73.0,10273.97,Moyen
Appart 101m² piscine près Semlalia Majorel Gueliz,2200000.0,"Appartements dans Marrakech, Semlalia",101 m²,2 chambres,2 sdbs,https://www.avito.ma/fr/semlalia/appartements/Appart_101m%C2%B2_piscine_pr%C3%A8s_Semlalia_Majorel_Gueliz_57780457.htm,Marrakech,101.0,21782.18,Luxe
Appartement à vendre 60 m² centre ville souk mlilia,330000.0,"Appartements dans Oujda, Centre Ville",60 m²,2 chambres,1 sdb,https://www.avito.ma/fr/centre_ville/appartements/Appartement_%C3%A0_vendre_60_m%C2%B2_centre_ville_souk_mlilia_56130464.htm,Oujda,60.0,5500.0,Economique
"Appartement rénové proche gare, plage et zoo",600000.0,"Appartements dans Casablanca, Ain Sebaa",67 m²,2 chambres,1 sdb,https://www.avito.ma/fr/ain_sebaa/appartements/Appartement_r%C3%A9nov%C3%A9_proche_gare__plage_et_zoo_57778622.htm,Casablanca,67.0,8955.22,Moyen
Appartement à vendre 65 m² à Bouznika Dahomey,650000.0,"Appartements dans Bouznika, Autre secteur",65 m²,2 chambres,2 sdbs,https://www.avito.ma/fr/autre_secteur/appartements/Appartement_%C3%A0_vendre_65_m%C2%B2_%C3%A0_Bouznika_Dahomey_53700784.htm,Bouznika,65.0,10000.0,Moyen
appartement à vendre,1200000.0,"Appartements dans Tanger, Aida",97 m²,3 chambres,2 sdbs,https://www.avito.ma/fr/aida/appartements/appartement_%C3%A0_vendre_57758453.htm,Tanger,97.0,12371.13,Moyen
Appartement 150 m2 Haut Standing Quartier Hôpitaux,1600000.0,"Appartements dans Casablanca, Californie",,3 chambres,2 sdbs,https://www.avito.ma/fr/californie/appartements/Appartement_150_m2_Haut_Standing_Quartier_H%C3%B4pitaux_56257640.htm,Casablanca,100.0,16000.0,Moyen
VENTE DIRECTE SUPERBES APPARTEMENTS,860000.0,"Appartements dans Casablanca, Hay Hassani",78 m²,2 chambres,2 sdbs,https://www.avito.ma/fr/hay_hassani/appartements/VENTE_DIRECTE_SUPERBES_APPARTEMENTS_57279893.htm,Casablanca,78.0,11025.64,Moyen
Résidence Galia Boulevard Hassan II Mohammedia,1700000.0,"Appartements dans Mohammedia, Centre Ville",125 m²,3 chambres,2 sdbs,https://www.avito.ma/fr/centre_ville/appartements/R%C3%A9sidence_Galia_Boulevard_Hassan_II_Mohammedia_55973170.htm,Mohammedia,125.0,13600.0,Moyen
Appartement à vendre rue Royal Army,1500000.0,"Appartements dans Tétouan, Centre ville",150 m²,3 chambres,2 sdbs,https://www.avito.ma/fr/centre_ville/appartements/Appartement_%C3%A0_vendre_rue_Royal_Army_55897749.htm,Tétouan,150.0,10000.0,Moyen
Appartement à vendre 104m² Amanar à Agadir,1456000.0,"Appartements dans Agadir, Centre Ville",104 m²,3 chambres,1 sdb,https://www.avito.ma/fr/centre_ville/appartements/Appartement_%C3%A0_vendre_104m%C2%B2_Amanar_%C3%A0_Agadir_56449553.htm,Agadir,104.0,14000.0,Moyen
Appartement à vendre 67m² à Ainsebaa,770500.0,"Appartements dans Casablanca, Ain Sebaa",67 m²,2 chambres,2 sdbs,https://www.avito.ma/fr/ain_sebaa/appartements/Appartement_%C3%A0_vendre_67m%C2%B2_%C3%A0_Ainsebaa_55553040.htm,Casablanca,67.0,11500.0,Moyen
Appartement 2 ch à vendre vue sur mer,2900000.0,"Appartements dans Tanger, Malabata",82 m²,2 chambres,1 sdb,https://www.avito.ma/fr/malabata/appartements/Appartement_2_ch_%C3%A0_vendre_vue_sur_mer_57080322.htm,Tanger,82.0,35365.85,Luxe
Appart.H.ST 87m2 Hay.chrifa près Bd qods,1000000.0,"Appartements dans Casablanca, Hay Chrifa",,3 chambres,2 sdbs,https://www.avito.ma/fr/hay_chrifa/appartements/Appart_H_ST_87m2_Hay_chrifa_pr%C3%A8s_Bd_qods_56164330.htm,Casablanca,100.0,10000.0,Moyen
Appartement avec jacuzzi à vendre à Prestigia,2300000.0,"Appartements dans Marrakech, Autre secteur",,2 chambres,2 sdbs,https://www.avito.ma/fr/autre_secteur/appartements/Appartement_avec_jacuzzi_%C3%A0_vendre_%C3%A0_Prestigia_57660982.htm,Marrakech,73.0,31506.85,Luxe
Appartement à vendre 155m² à Agdal,3400000.0,"Appartements dans Rabat, Agdal",appartement à vendre 155m² à agdal,3 chambres,2 sdbs,https://www.avito.ma/fr/agdal/appartements/Appartement_%C3%A0_vendre_155m%C2%B2_%C3%A0_Agdal_50898518.htm,Rabat,155.0,21935.48,Luxe
Appartement meublé à vendre,970000.0,"Appartements dans Tanger, Autre secteur",81 m²,2 chambres,1 sdb,https://www.avito.ma/fr/autre_secteur/appartements/Appartement_meubl%C3%A9_%C3%A0_vendre_57827672.htm,Tanger,81.0,11975.31,Moyen
2 Appartements moyen standing à vendre – Benguerir,520000.0,"Appartements dans Ben Guerir, Toute la ville",92 m²,2 chambres,2 sdbs,https://www.avito.ma/fr/ben_guerir/appartements/2_Appartements_moyen_standing_%C3%A0_vendre___Benguerir_56548870.htm,Ben Guerir,92.0,5652.17,Economique
Appartement neuf à vendre au Qu. des hôpitaux,1360000.0,"Appartements dans Casablanca, Quartier des Hôpitaux",,2 chambres,2 sdbs,https://www.avito.ma/fr/quartier_des_h%C3%B4pitaux/appartements/Appartement_neuf_%C3%A0_vendre_au_Qu__des_h%C3%B4pitaux_57742341.htm,Casablanca,100.0,13600.0,Moyen
Appartement vue mer Anza Miftah Sahil meublé,1200000.0,"Appartements dans Agadir, Anza",60 m²,1 chambre,1 sdb,https://www.avito.ma/fr/anza/appartements/Appartement_vue_mer_Anza_Miftah_Sahil_meubl%C3%A9_57729148.htm,Agadir,60.0,20000.0,Moyen
Appartement à vendre 123 m² à Casablanca,1780000.0,"Appartements dans Casablanca, Abdelmoumen",123 m²,3 chambres,2 sdbs,https://www.avito.ma/fr/abdelmoumen/appartements/Appartement_%C3%A0_vendre_123_m%C2%B2_%C3%A0_Casablanca_55242385.htm,Casablanca,123.0,14471.54,Moyen
Appartement à vendre 2 chambres Salon à Casa,810000.0,"Appartements dans Bouznika, Al Kawtar",95 m²,2 chambres,2 sdbs,https://www.avito.ma/fr/al_kawtar/appartements/Appartement_%C3%A0_vendre_2_chambres_Salon_%C3%A0_Casa_55246502.htm,Bouznika,95.0,8526.32,Moyen
Appartement à vendre 73m² La Perle Bleue à Dakhla,581625.0,"Appartements dans Dakhla, Toute la ville",73 m²,3 chambres,1 sdb,https://www.avito.ma/fr/dakhla/appartements/Appartement_%C3%A0_vendre_73m%C2%B2_La_Perle_Bleue_%C3%A0_Dakhla_56420853.htm,Dakhla,73.0,7967.47,Economique
Magnifique studio en rez de jardin sur résidence,1400000.0,"Appartements dans Marrakech, Agdal",50 m²,1 chambre,1 sdb,https://www.avito.ma/fr/agdal/appartements/Magnifique_studio_en_rez_de_jardin_sur_r%C3%A9sidence_57797692.htm,Marrakech,50.0,28000.0,Moyen
Appartement à vendre 97 m² à Ferme Bretonne,1900000.0,"Appartements dans Casablanca, Ferme Bretone",97 m²,2 chambres,2 sdbs,https://www.avito.ma/fr/ferme_bretone/appartements/Appartement_%C3%A0_vendre_97_m%C2%B2_%C3%A0_Ferme_Bretonne_57274161.htm,Casablanca,97.0,19587.63,Moyen
Appartement à vendre Prestegia Argan golf,2000000.0,"Appartements dans Marrakech, Route de Tahanaoute",80 m²,2 chambres,1 sdb,https://www.avito.ma/fr/route_de_tahanaoute/appartements/Appartement_%C3%A0_vendre_Prestegia_Argan_golf_57713584.htm,Marrakech,80.0,25000.0,Moyen
Appartement à vendre 94m² à Ferme Bretonne,1900000.0,"Appartements dans Casablanca, Ferme Bretone",94 m²,2 chambres,2 sdbs,https://www.avito.ma/fr/ferme_bretone/appartements/Appartement_%C3%A0_vendre_94m%C2%B2_%C3%A0_Ferme_Bretonne_57474725.htm,Casablanca,94.0,20212.77,Moyen
Appartement à vendre 165 m² à Casablanca,3500000.0,"Appartements dans Casablanca, Racine",176 m²,3 chambres,3 sdbs,https://www.avito.ma/fr/racine/appartements/Appartement_%C3%A0_vendre_165_m%C2%B2_%C3%A0_Casablanca_57627551.htm,Casablanca,176.0,19886.36,Luxe
Appartement à vendre105m²Les Jardins de la Coupole,1369592.0,"Appartements dans Agadir, Av Mokawama",105 m²,4 chambres,1 sdb,https://www.avito.ma/fr/av_mokawama/appartements/Appartement_%C3%A0_vendre105m%C2%B2Les_Jardins_de_la_Coupole_56420860.htm,Agadir,105.0,13043.73,Moyen
Appartement à vendre 95 m² à Marrakech,1350000.0,"Appartements dans Marrakech, Route de Safi",95 m²,2 chambres,1 sdb,https://www.avito.ma/fr/route_de_safi/appartements/Appartement_%C3%A0_vendre_95_m%C2%B2_%C3%A0_Marrakech_57746811.htm,Marrakech,95.0,14210.53,Moyen
Appartement 97m² à Casablanca ferme bretonne,1940000.0,"Appartements dans Casablanca, Ferme Bretone",97 m²,2 chambres,2 sdbs,https://www.avito.ma/fr/ferme_bretone/appartements/Appartement_97m%C2%B2_%C3%A0_Casablanca_ferme_bretonne_52869889.htm,Casablanca,97.0,20000.0,Moyen
Appartement à vendre 80m² Bouznika sans vis à vis,750000.0,"Appartements dans Bouznika, Al Kawtar",82 m²,2 chambres,2 sdbs,https://www.avito.ma/fr/al_kawtar/appartements/Appartement_%C3%A0_vendre_80m%C2%B2_Bouznika_sans_vis_%C3%A0_vis_56385837.htm,Bouznika,82.0,9146.34,Moyen
Appartement à vendre 95 m² à Marrakech palmeraie,1500000.0,"Appartements dans Marrakech, Palmeraie",95 m²,2 chambres,2 sdbs,https://www.avito.ma/fr/palmeraie/appartements/Appartement_%C3%A0_vendre_95_m%C2%B2_%C3%A0_Marrakech_palmeraie_57216492.htm,Marrakech,95.0,15789.47,Moyen
Appartement Ensoleillé à vendre 50 m² à Tamensourt,295000.0,"Appartements dans Tamensourt, Toute la ville",50 m²,1 chambre,1 sdb,https://www.avito.ma/fr/tamensourt/appartements/Appartement_Ensoleill%C3%A9_%C3%A0_vendre_50_m%C2%B2_%C3%A0_Tamensourt_57744621.htm,Tamensourt,50.0,5900.0,Economique
Appartement à vendre 136 m² à Marrakech,1500000.0,"Appartements dans Marrakech, Victor Hugo",appartement à vendre 136 m² à marrakech,3 chambres,2 sdbs,https://www.avito.ma/fr/victor_hugo/appartements/Appartement_%C3%A0_vendre_136_m%C2%B2_%C3%A0_Marrakech_57568134.htm,Marrakech,136.0,11029.41,Moyen
Superbe studio 56 m² à saisir à Marrakech,1064000.0,"Appartements dans Marrakech, Guéliz",56 m²,1 chambre,1 sdb,https://www.avito.ma/fr/gu%C3%A9liz/appartements/Superbe_studio_56_m%C2%B2_%C3%A0_saisir_%C3%A0_Marrakech_57765868.htm,Marrakech,56.0,19000.0,Moyen
Appartement à vendre 76 m² à Marrakech,1500000.0,"Appartements dans Marrakech, Victor Hugo",76 m²,2 chambres,2 sdbs,https://www.avito.ma/fr/victor_hugo/appartements/Appartement_%C3%A0_vendre_76_m%C2%B2_%C3%A0_Marrakech_57647629.htm,Marrakech,76.0,19736.84,Moyen
Spacieux Appartement 2 Chambres à la Vente Guéliz,2350000.0,"Appartements dans Marrakech, Guéliz",110 m²,2 chambres,2 sdbs,https://www.avito.ma/fr/gu%C3%A9liz/appartements/Spacieux_Appartement_2_Chambres_%C3%A0_la_Vente_Gu%C3%A9liz_57648625.htm,Marrakech,110.0,21363.64,Luxe
Appartement à vendre 111 m² à Marrakech,2600000.0,"Appartements dans Marrakech, Guéliz",appartement à vendre 111 m² à marrakech,2 chambres,2 sdbs,https://www.avito.ma/fr/gu%C3%A9liz/appartements/Appartement_%C3%A0_vendre_111_m%C2%B2_%C3%A0_Marrakech_57757647.htm,Marrakech,111.0,23423.42,Luxe
Appartement à vendre 110 m² à Mohammedia,1656000.0,"Appartements dans Mohammedia, Centre Ville",120 m²,2 chambres,2 sdbs,https://www.avito.ma/fr/centre_ville/appartements/Appartement_%C3%A0_vendre_110_m%C2%B2_%C3%A0_Mohammedia_55747589.htm,Mohammedia,120.0,13800.0,Moyen
Bel appartement en vente bd 2 mars,1930000.0,"Appartements dans Casablanca, 2 Mars",129 m²,3 chambres,2 sdbs,https://www.avito.ma/fr/2_mars/appartements/Bel_appartement_en_vente_bd_2_mars_55936018.htm,Casablanca,129.0,14961.24,Moyen
Duplex vue piscine et mer Taghazout Bay Taourt,3800000.0,"Appartements dans Agadir, Tamraght",,2 chambres,1 sdb,https://www.avito.ma/fr/tamraght/appartements/Duplex_vue_piscine_et_mer_Taghazout_Bay_Taourt_57541355.htm,Agadir,90.0,42222.22,Luxe
